key,value,color,los,buffer,anchor,water,description
aerialway,cable_car,#1e293b,True,True,False,False,"A cable car run. Just one or two large cars. The traction cable forms a loop, but the cars do not loop around, they just move up and down on their own side, rolling along static cables over which they are suspended."
aerialway,chair_lift,#1e293b,True,True,False,False,An open chairlift run. These have one or more seats or benches and are open to the outside air.
aerialway,drag_lift,#1e293b,True,True,False,False,An overhead tow-line for skiers and riders.
aerialway,gondola,#1e293b,True,True,False,False,An aerialway where the cabins go around in a circle.
aerialway,goods,#1e293b,True,True,False,False,"A cable supported lift for conveying goods, not passengers."
aerialway,j-bar,#1e293b,False,False,False,False,J-bar lift or L-bar lift. Overhead tow-line for skiers and riders with carriers in J-shape.
aerialway,magic_carpet,#1e293b,False,False,False,False,A ski lift for small children resembling a conveyor belt.
aerialway,mixed_lift,#1e293b,True,True,False,False,"A mixed lift, containing both gondolas and chairs."
aerialway,platter,#1e293b,False,False,False,False,An overhead tow-line for skiers and riders with platters.
aerialway,pylon,#1e293b,False,False,False,False,A pylon supporting the aerialway cable.
aerialway,rope_tow,#1e293b,False,False,False,False,A tow-line for skiers and riders where passenger hold by hand or use special tow grabbers.
aerialway,station,#1e293b,False,False,False,False,A station where passengers and/or goods can enter and/or leave the aerialway
aerialway,t-bar,#1e293b,False,False,False,False,An overhead tow-line for skiers and riders with T-shaped carriers for two passengers.
aerialway,zip_line,#1e293b,True,True,False,False,"Zip line, gravity propelled aerial ropeslide like a flying fox or similar"
aeroway,aerodrome,#6b7280,False,False,False,False,"An aerodrome, airport or airfield"
aeroway,aircraft_crossing,#6b7280,False,False,False,False,A point where the flow of traffic is impacted by crossing aircraft.
aeroway,apron,#6b7280,False,False,False,False,"An area of an airport where planes are parked, unloaded, loaded, refueled, or boarded."
aeroway,gate,#6b7280,False,False,False,False,"The bounded space, inside the airport terminal, where passengers wait before boarding their flight"
aeroway,hangar,#6b7280,False,False,False,False,A large airport building with extensive floor area that is used for housing aircraft or spacecraft.
aeroway,helipad,#6b7280,False,False,False,False,"A landing area or platform designed for helicopters. It might be part of an aerodrome, heliport, hospital, hotel etc."
aeroway,heliport,#6b7280,False,False,False,False,A special aerodrome built for helicopters. A heliport will usually have one or more helipads.
aeroway,navigationaid,#6b7280,False,False,False,False,A facility that supports visual navigation for aircraft
aeroway,runway,#6b7280,False,False,False,False,A designated strip of surface on which aircrafts can take off and land.
aeroway,spaceport,#6b7280,False,False,False,False,A spaceport or cosmodrome: a site for launching or receiving spacecraft
aeroway,taxiway,#6b7280,False,False,False,False,A route where airplanes manouevre between runways and parking areas within an aerodrome
aeroway,terminal,#6b7280,False,False,False,False,An airport passenger building
aeroway,windsock,#6b7280,False,False,False,False,An object that shows wind direction and speed.
amenity,animal_boarding,#d97706,False,False,False,False,"A facility where you, paying a fee, can bring your animal for a limited period of time (e.g. for holidays)"
amenity,arts_centre,#d97706,False,False,False,False,A venue where a variety of arts are performed or conducted
amenity,atm,#d97706,False,False,False,False,Automated teller machine (ATM) or cashpoint: a device that provides the clients of a financial institution with access to financial transactions.
amenity,baby_hatch,#d97706,False,False,False,False,"A place where a baby can be, out of necessity, anonymously left to be safely cared for and perhaps adopted."
amenity,bar,#d97706,False,False,False,False,"Baris a purpose-built commercial establishment that sells alcoholic drinks to be consumed on the premises. They are characterised by a noisy and vibrant atmosphere, similar to a party and usually don't sell food. See also the description of the tagsamenity=pub;bar;restaurantfor a distinction between"
amenity,bbq,#d97706,False,False,False,False,"BBQorBarbecueis a permanently built grill for cooking food, which is most typically used outdoors by the public. For example these may be found in city parks or at beaches. Use the tagfuel=*to specify the source of heating, such asfuel=wood;electric;charcoal. For mapping nearby table and chairs, see"
amenity,bicycle_parking,#d97706,False,False,False,False,Parking for bicycles
amenity,college,#d97706,True,True,False,False,Campus or buildings of an institute of Further Education (aka continuing education)
amenity,community_centre,#d97706,True,True,False,False,"A place mostly used for local events, festivities and group activities; including special interest and special age groups. ."
amenity,courthouse,#d97706,False,False,False,False,"A building home to a court of law, where justice is dispensed"
amenity,sanitary_dump_station,#d97706,False,False,False,False,A place for depositing human waste from a toilet holding tank.
amenity,school,#d97706,True,True,False,False,"School and grounds - primary, middle and secondary schools"
amenity,university,#d97706,True,True,False,False,A university campus: an institute of higher education
amenity,animal_breeding,#d97706,False,False,False,False,"A facility where animals are bred, usually to sell them"
amenity,animal_shelter,#d97706,False,False,False,False,A shelter that recovers animals in trouble
amenity,animal_training,#d97706,False,False,False,False,A facility used for non-competitive animal training
amenity,baking_oven,#d97706,False,False,False,False,"An oven used for baking bread and similar, for example inside abuilding=bakehouse."
amenity,bank,#d97706,False,False,False,False,"Bank or credit union: a financial establishment where customers can deposit and withdraw money, take loans, make investments and transfer funds."
amenity,bench,#d97706,False,False,False,False,A bench to sit down and relax a bit
amenity,bicycle_rental,#d97706,False,False,False,False,Rent a bicycle
amenity,bicycle_repair_station,#d97706,False,False,False,False,"General tools for self-service bicycle repairs, usually on the roadside; no service..."
amenity,bicycle_wash,#d97706,False,False,False,False,Clean a bicycle
amenity,biergarten,#d97706,False,False,False,False,"Biergartenorbeer gardenis an open-air area where alcoholic beverages along with food is prepared and served. See also the description of the tagsamenity=pub;bar;restaurant. A biergarten can commonly be found attached to a beer hall, pub, bar, or restaurant. In this case, you can usebiergarten=yesadditional toamenity=pub;bar;restaurant."
amenity,boat_rental,#d97706,False,False,False,False,Rent a Boat
amenity,boat_sharing,#d97706,False,False,False,False,Share a Boat
